""	"Gene"	"AGI_accession"	"Annotation"	"ProteinType"	"NumberOfDomains"
"1820"	"AT4G39930.1"	"At4g39930"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1821"	"AT4G39952.1"	"At4g39952"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1822"	"AT4G39955.1"	"At4g39955"	"putative alpha/beta-fold-type hydrolase"	"soluble or peripheral protein"	"0"
"1823"	"AT4G40011.1"	"At4g40011"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1824"	"AT4G40045.1"	"At4g40045"	"protein of unknown function"	"membrane protein"	"2"
"1825"	"AT5G01080.1"	"At5g01080"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1826"	"AT5G01225.1"	"At5g01225"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1827"	"AT5G01340.1"	"At5g01340"	"putative mitochondrial citrate/succinate translocator (AtSFC1/AtmSFC1)"	"membrane protein"	"6"
"1828"	"AT5G01350.1"	"At5g01350"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1829"	"AT5G01445.1"	"At5g01445"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1830"	"AT5G01510.1"	"At5g01510"	"putative protein involved in UV-B-sensing (AtRUS5)"	"membrane protein"	"7"
"1831"	"AT5G01660.1"	"At5g01660"	"protein of unknown function, contains DCD-type domain"	"soluble or peripheral protein"	"0"
"1832"	"AT5G01780.1"	"At5g01780"	"putative DOXA class 2-oxoglutarate-dependent dioxygenase (AtALKBH1d)"	"soluble or peripheral protein"	"0"
"1833"	"AT5G02050.1"	"At5g02050"	"putative (yeast MAM33)-like mitochondrial protein of unknown function"	"soluble or peripheral protein"	"0"
"1834"	"AT5G02130.1"	"At5g02130"	"protein of unknown function, regulates mitochondria electron transport chain (AtSSR)"	"soluble or peripheral protein"	"0"
"1835"	"AT5G02250.1"	"At5g02250"	"putative plastidial RNase-R-type exoribonuclease (AtRNR1/AtmtRNaseII)"	"soluble or peripheral protein"	"0"
"1836"	"AT5G02700.1"	"At5g02700"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1837"	"AT5G02740.1"	"At5g02740"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1838"	"AT5G02930.1"	"At5g02930"	"protein of unknown function, contains F-box and LRR domain"	"soluble or peripheral protein"	"0"
"1839"	"AT5G03010.1"	"At5g03010"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1840"	"AT5G03030.1"	"At5g03030"	"putative Pam18 component of inner mitochondrion membrane TIM translocation system (At18L3)"	"membrane protein"	"1"
"1841"	"AT5G03190.1"	"At5g03190"	"putative methyltransferase"	"membrane protein"	"1"
"1842"	"AT5G03200.1"	"At5g03200"	"putative E3 ubiquitin protein ligase (AtLUL1)"	"soluble or peripheral protein"	"0"
"1843"	"AT5G03290.1"	"At5g03290"	"putative catalytic component of NAD-dependent isocitrate dehydrogenase (AtIDH5)"	"soluble or peripheral protein"	"0"
"1844"	"AT5G03310.1"	"At5g03310"	"putative SAUR-type hormone signal effector (AtSAUR44)"	"soluble or peripheral protein"	"0"
"1845"	"AT5G03370.1"	"At5g03370"	"putative acylphosphatase"	"soluble or peripheral protein"	"0"
"1846"	"AT5G03390.1"	"At5g03390"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1847"	"AT5G03406.1"	"At5g03406"	"putative aminoacyl-tRNA synthetase"	"soluble or peripheral protein"	"0"
"1848"	"AT5G03455.1"	"At5g03455"	"putative arsenate reductase (AtACR2/AtSTR5)"	"soluble or peripheral protein"	"0"
"1849"	"AT5G03560.1"	"At5g03560"	"protein of unknown function, contains pentatricopeptide (PPR) repeats"	"soluble or peripheral protein"	"0"
"1850"	"AT5G03690.1"	"At5g03690"	"putative fructose-bisphosphate aldolase (AtFBA4)"	"soluble or peripheral protein"	"0"
"1851"	"AT5G03770.1"	"At5g03770"	"putative Kdo transferase-like glycosyl transferase (AtKdtA)"	"membrane protein"	"6"
"1852"	"AT5G03830.1"	"At5g03830"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1853"	"AT5G03837.1"	"At5g03837"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1854"	"AT5G03905.1"	"At5g03905"	"putative component of mitochondrial IscA1-IscA2 iron-sulfur cluster assembly...(AtIscA2)"	"soluble or peripheral protein"	"0"
"1855"	"AT5G04050.1"	"At5g04050"	"putative type-II-maturase-like intron splicing factor (AtnMat3)"	"soluble or peripheral protein"	"0"
"1856"	"AT5G04070.1"	"At5g04070"	"putative NAD- or NADP-dependent oxidoreductase"	"membrane protein"	"3"
"1857"	"AT5G04130.1"	"At5g04130"	"putative subunit B of type-IIa:gyrase DNA topoisomerase complex (AtmtGyrB)"	"soluble or peripheral protein"	"0"
"1858"	"AT5G04267.1"	"At5g04267"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1859"	"AT5G04670.1"	"At5g04670"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1860"	"AT5G04680.1"	"At5g04680"	"protein of unknown function"	"membrane protein"	"5"
"1861"	"AT5G04750.1"	"At5g04750"	"putative mitochondrial ATP synthase inhibitory factor (AtIF1)"	"soluble or peripheral protein"	"0"
"1862"	"AT5G04820.1"	"At5g04820"	"putative OVATE-type transcription repressor (AtOFP13)"	"soluble or peripheral protein"	"0"
"1863"	"AT5G04860.1"	"At5g04860"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1864"	"AT5G04895.1"	"At5g04895"	"putative DExH-box RNA helicase involved in mitochondrial RNA processing (AtABO6)"	"soluble or peripheral protein"	"0"
"1865"	"AT5G05113.1"	"At5g05113"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1866"	"AT5G05370.1"	"At5g05370"	"putative ubiquinone-binding component of cytochrome bc1 complex (AtUCRQ-2/AtQCR8-2)"	"membrane protein"	"1"
"1867"	"AT5G05520.1"	"At5g05520"	"putative component of TOB/SAM mitochondrial outer membrane complex (AtSAM50-2/AtTob55-2)"	"membrane protein"	"Beta-barrel"
"1868"	"AT5G05530.1"	"At5g05530"	"putative RING-H2 E3 ubiquitin protein ligase"	"soluble or peripheral protein"	"0"
"1869"	"AT5G05570.1"	"At5g05570"	"putative (animal Tomosyn)-like syntaxin (SYP1) regulatory protein (AtTMS)"	"soluble or peripheral protein"	"0"
"1870"	"AT5G05990.1"	"At5g05990"	"putative (yeast MAM33)-like mitochondrial protein of unknown function"	"soluble or peripheral protein"	"0"
"1871"	"AT5G06180.1"	"At5g06180"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1872"	"AT5G06190.1"	"At5g06190"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1873"	"AT5G06210.1"	"At5g06210"	"protein of unknown function, contains RNA binding domain"	"soluble or peripheral protein"	"0"
"1874"	"AT5G06400.1"	"At5g06400"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"soluble or peripheral protein"	"0"
"1875"	"AT5G06410.1"	"At5g06410"	"putative Hsp40/DnaJ molecular chaperone (AtDjC17/AtHSCB)"	"soluble or peripheral protein"	"0"
"1876"	"AT5G06540.1"	"At5g06540"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1877"	"AT5G06550.1"	"At5g06550"	"putative JmjC-type histone demethylase (AtJMJD6a)"	"soluble or peripheral protein"	"0"
"1878"	"AT5G06580.1"	"At5g06580"	"D-lactate dehydrogenase (AtD-LDH)"	"soluble or peripheral protein"	"0"
"1879"	"AT5G06620.1"	"At5g06620"	"putative histone-lysine N-methyltransferase (AtATXR4)"	"soluble or peripheral protein"	"0"
"1880"	"AT5G06810.1"	"At5g06810"	"putative mTERF-type protein of unknown function (AtmTERF19)"	"soluble or peripheral protein"	"0"
"1881"	"AT5G07330.1"	"At5g07330"	"putative membrane protein of unknown function"	"membrane protein"	"1"
"1882"	"AT5G07440.1"	"At5g07440"	"putative alpha component of NADH-dependent glutamate dehydrogenase hexamer(AtGDH2)"	"soluble or peripheral protein"	"0"
"1883"	"AT5G07572.1"	"At5g07572"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1884"	"AT5G07610.1"	"At5g07610"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1885"	"AT5G07720.1"	"At5g07720"	"putative xyloglucan alpha-1,6-xylosyltransferase (AtGT3/AtXXT3)"	"membrane protein"	"2"
"1886"	"AT5G08040.1"	"At5g08040"	"mitochondrial outer membrane translocase component (AtTOM5)"	"membrane protein"	"1"
"1887"	"AT5G08060.1"	"At5g08060"	"putative component B14.5a of NADH dehydrogenase alpha subcomplex (AtNDUFA7/AtB14.5a)"	"soluble or peripheral protein"	"0"
"1888"	"AT5G08270.1"	"At5g08270"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1889"	"AT5G08300.1"	"At5g08300"	"putative alpha subunit of succinyl-CoA synthetase"	"soluble or peripheral protein"	"0"
"1890"	"AT5G08305.1"	"At5g08305"	"putative mitochondrial RNA editing factor (AtMEF37)"	"soluble or peripheral protein"	"0"
"1891"	"AT5G08310.1"	"At5g08310"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1892"	"AT5G08350.1"	"At5g08350"	"protein of unknown function (AtGEML4/AtGRE4)"	"soluble or peripheral protein"	"0"
"1893"	"AT5G08490.1"	"At5g08490"	"putative mitochondrial RNA editing factor (AtSLG1)"	"soluble or peripheral protein"	"0"
"1894"	"AT5G08530.1"	"At5g08530"	"putative 51kDa component of NADH dehydrogenase complex (AtNDUFV1)"	"soluble or peripheral protein"	"0"
"1895"	"AT5G08670.1"	"At5g08670"	"beta subunit of mitochondrial ATP synthase peripheral MF1 subcomplex (AtmtATP-beta1)"	"soluble or peripheral protein"	"0"
"1896"	"AT5G08680.1"	"At5g08680"	"beta subunit of mitochondrial ATP synthase peripheral MF1 subcomplex (AtmtATP-beta3)"	"soluble or peripheral protein"	"0"
"1897"	"AT5G08690.1"	"At5g08690"	"beta subunit of mitochondrial ATP synthase peripheral MF1 subcomplex (AtmtATP-beta2)"	"soluble or peripheral protein"	"0"
"1898"	"AT5G08710.1"	"At5g08710"	"protein of unknown function, contains RCC1 domain"	"soluble or peripheral protein"	"0"
"1899"	"AT5G08740.1"	"At5g08740"	"putative alternative NADPH/NADH-dependent dehydrogenase (AtNDC1)"	"soluble or peripheral protein"	"0"
"1900"	"AT5G09300.1"	"At5g09300"	"putative E1 alpha subunit of alpha-keto acid dehydrogenase complex"	"soluble or peripheral protein"	"0"
"1901"	"AT5G09420.1"	"At5g09420"	"co-receptor protein associated with mitochondrion protein import...(AtmtOM64/AtTOC64-V)"	"membrane protein"	"3"
"1902"	"AT5G09430.1"	"At5g09430"	"putative alpha/beta-fold-type hydrolase"	"soluble or peripheral protein"	"0"
"1903"	"AT5G09450.1"	"At5g09450"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1904"	"AT5G09470.1"	"At5g09470"	"putative MtcC dicarboxylate carrier-like proton gradient...(AtDIC3/AtPUMP6/AtUCP6)"	"membrane protein"	"7"
"1905"	"AT5G09580.1"	"At5g09580"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1906"	"AT5G09590.1"	"At5g09590"	"putative HSP70/DnaK-type molecular chaperone (AtHsp70-10/AtmtHsp70-2)"	"soluble or peripheral protein"	"0"
"1907"	"AT5G09600.1"	"At5g09600"	"membrane anchor subunit of succinate dehydrogenase complex (AtSDH3-1)"	"soluble or peripheral protein"	"0"
"1908"	"AT5G09770.1"	"At5g09770"	"putative component bL17M of large subunit of mitochondrial ribosome (AtmtRPL17a)"	"soluble or peripheral protein"	"0"
"1909"	"AT5G09805.1"	"At5g09805"	"putative IDA/IDL-type peptide ligand precursor (AtIDL3)"	"soluble or peripheral protein"	"0"
"1910"	"AT5G09840.1"	"At5g09840"	"putative organelle mRNA-processing endonuclease (AtMNU2)"	"soluble or peripheral protein"	"0"
"1911"	"AT5G09950.1"	"At5g09950"	"putative mitochondrial RNA editing factor (AtMEF7)"	"soluble or peripheral protein"	"0"
"1912"	"AT5G10250.1"	"At5g10250"	"putative NRL-type substrate receptor of CRL3 E3 ubiquitin ligase complex (AtNRL23/AtDOT3)"	"soluble or peripheral protein"	"0"
"1913"	"AT5G10340.1"	"At5g10340"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1914"	"AT5G10410.1"	"At5g10410"	"putative ANTH-type accessory protein in endocytosis (AtPICALM10b)"	"soluble or peripheral protein"	"0"
"1915"	"AT5G10500.1"	"At5g10500"	"putative NET-type actin-membrane nexus protein (AtNET2C)"	"soluble or peripheral protein"	"0"
"1916"	"AT5G10504.1"	"At5g10504"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1917"	"AT5G10700.1"	"At5g10700"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1918"	"AT5G10730.1"	"At5g10730"	"putative NAD-dependent epimerase/dehydratase"	"soluble or peripheral protein"	"0"
"1919"	"AT5G10860.1"	"At5g10860"	"protein of unknown function, contains CBS domain"	"soluble or peripheral protein"	"0"
"1920"	"AT5G10990.1"	"At5g10990"	"putative SAUR-type hormone signal effector (AtSAUR69)"	"soluble or peripheral protein"	"0"
"1921"	"AT5G11310.1"	"At5g11310"	"putative PPR-type organelle RNA processing factor (AtSOAR1)"	"soluble or peripheral protein"	"0"
"1922"	"AT5G11350.1"	"At5g11350"	"putative ANGEL1-like endonuclease"	"soluble or peripheral protein"	"0"
"1923"	"AT5G11630.1"	"At5g11630"	"protein of unknown function (AtNOXY2)"	"soluble or peripheral protein"	"0"
"1924"	"AT5G11690.1"	"At5g11690"	"mitochondrial inner membrane translocase component (AtTIM17-3)"	"membrane protein"	"3"
"1925"	"AT5G11750.1"	"At5g11750"	"putative component bL19M of large subunit of mitochondrial ribosome"	"soluble or peripheral protein"	"0"
"1926"	"AT5G11770.1"	"At5g11770"	"putative component PSST of NADH dehydrogenase complex (AtPSST/AtNDUFS7)"	"soluble or peripheral protein"	"0"
"1927"	"AT5G11930.1"	"At5g11930"	"putative CC-type glutaredoxin (AtROXY20/AtGRXC10)"	"soluble or peripheral protein"	"0"
"1928"	"AT5G12100.1"	"At5g12100"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1929"	"AT5G12290.1"	"At5g12290"	"putative component of MICOS lipid trafficking complex (AtDGS1)"	"membrane protein"	"2"
"1930"	"AT5G12340.1"	"At5g12340"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1931"	"AT5G13070.1"	"At5g13070"	"putative UPS component of mitochondrial UPS-Mdm35 phospholipid transfer complex"	"soluble or peripheral protein"	"0"
"1932"	"AT5G13230.1"	"At5g13230"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1933"	"AT5G13430.1"	"At5g13430"	"putative Rieske iron-sulphur component of cytochrome bc1 complex (AtUCR1-1)"	"membrane protein"	"2"
"1934"	"AT5G13440.1"	"At5g13440"	"putative Rieske iron-sulphur component of cytochrome bc1 complex (AtUCR1-2)"	"membrane protein"	"2"
"1935"	"AT5G13450.1"	"At5g13450"	"delta/OSCP subunit of mitochondrial ATP synthase peripheral MF1...(AtmtATP-delta/AtOSCP)"	"soluble or peripheral protein"	"0"
"1936"	"AT5G13490.1"	"At5g13490"	"putative mitochondrial adenylate translocator (AtAAC2/AtANT2)"	"membrane protein"	"7"
"1937"	"AT5G13610.1"	"At5g13610"	"putative membrane protein of unknown function"	"membrane protein"	"2"
"1938"	"AT5G13620.1"	"At5g13620"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1939"	"AT5G13810.1"	"At5g13810"	"putative DnaJ-chaperone-related protein (AtDnaJE2.6)"	"soluble or peripheral protein"	"0"
"1940"	"AT5G13917.1"	"At5g13917"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1941"	"AT5G14040.1"	"At5g14040"	"phosphate transporter (AtPHT3;1/AtMPT3)"	"membrane protein"	"7"
"1942"	"AT5G14105.1"	"At5g14105"	"putative candidate component of complex I NADH:ubiquinone oxidoreductase (AtP3)"	"soluble or peripheral protein"	"0"
"1943"	"AT5G14210.1"	"At5g14210"	"putative RLK-LRR-VI-type receptor-like protein kinase"	"membrane protein"	"2"
"1944"	"AT5G14220.1"	"At5g14220"	"protoporphyrinogen IX oxidase (AtPPO2)"	"soluble or peripheral protein"	"0"
"1945"	"AT5G14290.1"	"At5g14290"	"putative component mL54 of large subunit of mitochondrial ribosome"	"soluble or peripheral protein"	"0"
"1946"	"AT5G14300.1"	"At5g14300"	"putative type-I (yeast Prohibitin)-like chaperone protein (AtPHB5)"	"soluble or peripheral protein"	"0"
"1947"	"AT5G14550.1"	"At5g14550"	"putative membrane protein of unknown function"	"membrane protein"	"2"
"1948"	"AT5G14580.1"	"At5g14580"	"putative polyribonucleotide nucleotidyltransferase (AtPNP2)"	"soluble or peripheral protein"	"0"
"1949"	"AT5G14590.1"	"At5g14590"	"putative NADP-dependent isocitrate dehydrogenase"	"soluble or peripheral protein"	"0"
"1950"	"AT5G14770.1"	"At5g14770"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1951"	"AT5G14780.1"	"At5g14780"	"putative formate dehydrogenase (AtFDH1)"	"soluble or peripheral protein"	"0"
"1952"	"AT5G14820.1"	"At5g14820"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1953"	"AT5G15010.1"	"At5g15010"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1954"	"AT5G15090.1"	"At5g15090"	"voltage-dependent anion channel (AtVDAC3)"	"membrane protein"	"Beta-barrel"
"1955"	"AT5G15220.1"	"At5g15220"	"putative component bL27M of large subunit of mitochondrial ribosome"	"soluble or peripheral protein"	"0"
"1956"	"AT5G15280.1"	"At5g15280"	"protein of unknown function, contains pentatricopeptide (PPR) repeats"	"soluble or peripheral protein"	"0"
"1957"	"AT5G15320.1"	"At5g15320"	"putative subunit e/ATP21 of ATP synthase membrane MF0 subcomplex (AtAucsia2)"	"membrane protein"	"1"
"1958"	"AT5G15340.1"	"At5g15340"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1959"	"AT5G15640.1"	"At5g15640"	"putative MtcC-type ubiquinone-precursor transporter (AtSLC25A44)"	"membrane protein"	"6"
"1960"	"AT5G15810.1"	"At5g15810"	"putative tRNA guanine-N-dimethyltransferase (AtTRM1b)"	"soluble or peripheral protein"	"0"
"1961"	"AT5G15870.1"	"At5g15870"	"putative glycosyl hydrolase"	"soluble or peripheral protein"	"0"
"1962"	"AT5G15910.1"	"At5g15910"	"putative NAD-dependent epimerase/dehydratase"	"soluble or peripheral protein"	"0"
"1963"	"AT5G15980.1"	"At5g15980"	"putative component mS81 of small subunit of mitochondrial ribosome (AtmS81/AtPPR8)"	"soluble or peripheral protein"	"0"
"1964"	"AT5G16140.1"	"At5g16140"	"putative group-II CRS2-type splicing factor (AtCRS2b)"	"soluble or peripheral protein"	"0"
"1965"	"AT5G16200.1"	"At5g16200"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1966"	"AT5G16420.1"	"At5g16420"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1967"	"AT5G16486.1"	"At5g16486"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1968"	"AT5G16640.1"	"At5g16640"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1969"	"AT5G16860.1"	"At5g16860"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"1970"	"AT5G16870.1"	"At5g16870"	"putative peptidyl-tRNA hydrolase"	"soluble or peripheral protein"	"0"
"1971"	"AT5G16930.1"	"At5g16930"	"putative regulatory protein in organelle nucleoid organization (AtSBA2)"	"soluble or peripheral protein"	"0"
"1972"	"AT5G16950.1"	"At5g16950"	"protein of unknown function"	"membrane protein"	"1"
"1973"	"AT5G17165.1"	"At5g17165"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1974"	"AT5G17262.1"	"At5g17262"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1975"	"AT5G17390.1"	"At5g17390"	"putative UspA-like stress-responsive protein"	"soluble or peripheral protein"	"0"
"1976"	"AT5G17460.1"	"At5g17460"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"1977"	"AT5G17740.1"	"At5g17740"	"putative AAA-type ATPase associated with unknown cellular activities"	"soluble or peripheral protein"	"0"
"1978"	"AT5G18010.1"	"At5g18010"	"putative SAUR-type hormone signal effector (AtSAUR19)"	"soluble or peripheral protein"	"0"
"1979"	"AT5G18020.1"	"At5g18020"	"putative SAUR-type hormone signal effector (AtSAUR20)"	"soluble or peripheral protein"	"0"
"1980"	"AT5G18030.1"	"At5g18030"	"putative SAUR-type hormone signal effector (AtSAUR21)"	"soluble or peripheral protein"	"0"
"1981"	"AT5G18050.1"	"At5g18050"	"putative SAUR-type hormone signal effector (AtSAUR22)"	"soluble or peripheral protein"	"0"
"1982"	"AT5G18060.1"	"At5g18060"	"putative SAUR-type hormone signal effector (AtSAUR23)"	"soluble or peripheral protein"	"0"
"1983"	"AT5G18070.1"	"At5g18070"	"protein of unknown function, involved in UV-light resistance (AtDRT101)"	"soluble or peripheral protein"	"0"
"1984"	"AT5G18080.1"	"At5g18080"	"putative SAUR-type hormone signal effector (AtSAUR24)"	"soluble or peripheral protein"	"0"
"1985"	"AT5G18170.1"	"At5g18170"	"putative beta component of NADH-dependent glutamate dehydrogenase hexamer (AtGDH1)"	"soluble or peripheral protein"	"0"
"1986"	"AT5G18250.1"	"At5g18250"	"putative membrane protein of unknown function"	"membrane protein"	"2"
"1987"	"AT5G18390.1"	"At5g18390"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1988"	"AT5G18680.1"	"At5g18680"	"putative TUBBY plasma membrane-tethered protein of unknown function (AtTLP11)"	"soluble or peripheral protein"	"0"
"1989"	"AT5G18770.1"	"At5g18770"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"1990"	"AT5G18790.1"	"At5g18790"	"putative component bL33M of large subunit of mitochondrial ribosome (AtmtRPL33b)"	"soluble or peripheral protein"	"0"
"1991"	"AT5G18800.1"	"At5g18800"	"putative component PGIV/NDUFA8 of NADH dehydrogenase alpha subcomplex (AtPGIV-2)"	"soluble or peripheral protein"	"0"
"1992"	"AT5G18950.1"	"At5g18950"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"1993"	"AT5G19020.1"	"At5g19020"	"putative mitochondrial RNA editing factor (AtMEF18)"	"soluble or peripheral protein"	"0"
"1994"	"AT5G19040.1"	"At5g19040"	"adenylate isopentenyltransferase/cytokinin synthase (AtIPT5)"	"soluble or peripheral protein"	"0"
"1995"	"AT5G19760.1"	"At5g19760"	"mitochondrial dicarboxylate/tricarboxylate carrier (AtDTC)"	"membrane protein"	"6"
"1996"	"AT5G19830.1"	"At5g19830"	"putative mitochondrial group-II CRS2-type splicing factor (AtCRS2/AtmPTH)"	"soluble or peripheral protein"	"0"
"1997"	"AT5G20040.1"	"At5g20040"	"tRNA isopentenyltransferase (AtIPT9)"	"soluble or peripheral protein"	"0"
"1998"	"AT5G20060.1"	"At5g20060"	"putative acyl-protein thioesterase"	"soluble or peripheral protein"	"0"
"1999"	"AT5G20080.1"	"At5g20080"	"putative mitochondrial NADH:cytochrome-b5 reductase (AtCBR2)"	"soluble or peripheral protein"	"0"
"2000"	"AT5G20090.1"	"At5g20090"	"putative core component of MPC mitochondrial pyruvate carrier complex (AtMPC1)"	"membrane protein"	"2"
"2001"	"AT5G20180.1"	"At5g20180"	"putative component bL36M of large subunit of mitochondrial ribosome (AtmtRPL36)"	"soluble or peripheral protein"	"0"
"2002"	"AT5G20370.1"	"At5g20370"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2003"	"AT5G20440.1"	"At5g20440"	"putative co-activator involved in morphogenesis RAM signalling pathway (AtMOB2a)"	"soluble or peripheral protein"	"0"
"2004"	"AT5G20935.1"	"At5g20935"	"putative assembly factor of plastidial NDH complex (AtCRR42)"	"soluble or peripheral protein"	"0"
"2005"	"AT5G21950.1"	"At5g21950"	"putative alpha/beta-fold-type hydrolase"	"soluble or peripheral protein"	"0"
"2006"	"AT5G21970.1"	"At5g21970"	"putative RNA intron splicing factor"	"soluble or peripheral protein"	"0"
"2007"	"AT5G22100.1"	"At5g22100"	"putative RNA-3'-phosphate cyclase/RNA cyclase"	"soluble or peripheral protein"	"0"
"2008"	"AT5G22350.1"	"At5g22350"	"factor involved in relocalization of dynamin-related proteins (AtELM1)"	"soluble or peripheral protein"	"0"
"2009"	"AT5G22520.1"	"At5g22520"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2010"	"AT5G22590.1"	"At5g22590"	"protein of unknown function, contains LRR domain"	"soluble or peripheral protein"	"0"
"2011"	"AT5G22970.1"	"At5g22970"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2012"	"AT5G23140.1"	"At5g23140"	"putative proteolytic subunit of Clp-type serine protease"	"soluble or peripheral protein"	"0"
"2013"	"AT5G23200.1"	"At5g23200"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2014"	"AT5G23250.1"	"At5g23250"	"putative alpha subunit of succinyl-CoA synthetase"	"soluble or peripheral protein"	"0"
"2015"	"AT5G23300.1"	"At5g23300"	"dihydroorotate dehydrogenase (AtPYRD)"	"membrane protein"	"5"
"2016"	"AT5G23330.1"	"At5g23330"	"putative FAD synthetase (AtRibF1)"	"soluble or peripheral protein"	"0"
"2017"	"AT5G23360.1"	"At5g23360"	"protein of unknown function (AtGEML7/AtGRE7)"	"soluble or peripheral protein"	"0"
"2018"	"AT5G23370.1"	"At5g23370"	"protein of unknown function (AtGEML8/AtGRE8)"	"soluble or peripheral protein"	"0"
"2019"	"AT5G23535.1"	"At5g23535"	"putative component uL24M of large subunit of mitochondrial ribosome (AtmtRPL24)"	"soluble or peripheral protein"	"0"
"2020"	"AT5G23600.1"	"At5g23600"	"putative tRNA 2'-phosphotransferase"	"soluble or peripheral protein"	"0"
"2021"	"AT5G23690.1"	"At5g23690"	"putative RNA nucleotidyltransferase"	"soluble or peripheral protein"	"0"
"2022"	"AT5G23930.1"	"At5g23930"	"putative mTERF-type protein of unknown function (AtmTERF34)"	"soluble or peripheral protein"	"0"
"2023"	"AT5G24165.1"	"At5g24165"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2024"	"AT5G24530.1"	"At5g24530"	"putative DOXC-class salicylic acid 5-hydroxylase (AtDMR6/AtS5H)"	"soluble or peripheral protein"	"0"
"2025"	"AT5G24593.1"	"At5g24593"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2026"	"AT5G24850.1"	"At5g24850"	"putative cryptochrome-DASH blue light photoreceptor (AtCRYD/AtCRY3)"	"soluble or peripheral protein"	"0"
"2027"	"AT5G24970.1"	"At5g24970"	"putative ABC1-type atypical kinase (AtABC1K2)"	"soluble or peripheral protein"	"0"
"2028"	"AT5G25102.1"	"At5g25102"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"2029"	"AT5G25450.1"	"At5g25450"	"putative 14 kDa protein component of cytochrome bc1 complex (AtQCR7-2)"	"soluble or peripheral protein"	"0"
"2030"	"AT5G25470.1"	"At5g25470"	"putative B3-type REM-B transcription factor (AtREM27)"	"soluble or peripheral protein"	"0"
"2031"	"AT5G25770.1"	"At5g25770"	"putative prolyl oligopeptidase"	"soluble or peripheral protein"	"0"
"2032"	"AT5G25850.1"	"At5g25850"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
